latitude,longitude,elevation,temps,temperature,freqCardiaque
49.44643,1.084594,-22.2,2023-11-29 07:26:02+00:00,20,121
49.446431,1.084756,-22.2,2023-11-29 07:26:04+00:00,20,123
49.446451,1.084841,-22.2,2023-11-29 07:26:05+00:00,20,126
49.446483,1.084944,-22.2,2023-11-29 07:26:06+00:00,20,126
49.446447,1.085152,-22.2,2023-11-29 07:26:08+00:00,20,125
49.446246,1.085638,-22.4,2023-11-29 07:26:12+00:00,20,122
49.446233,1.085735,-22.6,2023-11-29 07:26:13+00:00,20,125
49.446224,1.085849,-22.8,2023-11-29 07:26:15+00:00,20,125
49.446142,1.085974,-23.2,2023-11-29 07:26:19+00:00,20,124
49.446108,1.086009,-23.4,2023-11-29 07:26:20+00:00,20,125
49.446034,1.086074,-24.0,2023-11-29 07:26:23+00:00,20,126
49.445982,1.086109,-24.2,2023-11-29 07:26:26+00:00,20,123
49.445918,1.086133,-24.4,2023-11-29 07:26:29+00:00,20,123
49.445861,1.086104,-24.4,2023-11-29 07:26:31+00:00,20,120
49.445779,1.086046,-24.6,2023-11-29 07:26:33+00:00,20,119
49.445538,1.085961,-24.6,2023-11-29 07:26:37+00:00,20,119
49.445278,1.08585,-25.4,2023-11-29 07:26:41+00:00,20,125
49.445209,1.085815,-26.0,2023-11-29 07:26:42+00:00,20,125
49.445069,1.085749,-27.2,2023-11-29 07:26:44+00:00,20,125
49.444999,1.085716,-27.4,2023-11-29 07:26:45+00:00,20,128
49.444841,1.085655,-27.8,2023-11-29 07:26:47+00:00,20,131
49.44477,1.085613,-28.0,2023-11-29 07:26:48+00:00,20,133
49.444701,1.085577,-28.2,2023-11-29 07:26:49+00:00,20,131
49.444579,1.085495,-29.2,2023-11-29 07:26:51+00:00,20,132
49.444449,1.085404,-29.8,2023-11-29 07:26:53+00:00,20,132
49.444316,1.085296,-30.4,2023-11-29 07:26:55+00:00,20,133
49.444011,1.08512,-31.6,2023-11-29 07:26:59+00:00,20,135
49.443864,1.085028,-32.2,2023-11-29 07:27:01+00:00,20,138
49.44371,1.084948,-32.8,2023-11-29 07:27:03+00:00,20,136
49.44357,1.084861,-33.8,2023-11-29 07:27:05+00:00,20,131
49.443502,1.084824,-34.0,2023-11-29 07:27:06+00:00,20,132
49.443183,1.084616,-35.2,2023-11-29 07:27:11+00:00,20,133
49.443131,1.084557,-35.4,2023-11-29 07:27:12+00:00,20,136
49.442899,1.084368,-36.4,2023-11-29 07:27:16+00:00,20,137
49.44284,1.084329,-36.8,2023-11-29 07:27:17+00:00,20,137
49.442693,1.084202,-37.8,2023-11-29 07:27:20+00:00,20,137
49.442654,1.084166,-38.2,2023-11-29 07:27:21+00:00,20,137
49.442591,1.084133,-39.0,2023-11-29 07:27:24+00:00,20,135
49.442588,1.084125,-39.2,2023-11-29 07:27:25+00:00,19,136
49.442597,1.084101,-39.4,2023-11-29 07:27:32+00:00,19,135
49.442575,1.084048,-39.4,2023-11-29 07:27:34+00:00,19,132
49.442526,1.083947,-39.2,2023-11-29 07:27:36+00:00,19,128
49.442354,1.083779,-39.4,2023-11-29 07:27:41+00:00,19,125
49.442318,1.08363,-40.0,2023-11-29 07:27:45+00:00,19,125
49.442306,1.083493,-39.6,2023-11-29 07:27:48+00:00,19,122
49.442274,1.08338,-39.2,2023-11-29 07:27:50+00:00,19,121
49.442276,1.083243,-39.2,2023-11-29 07:27:53+00:00,19,116
49.442278,1.083224,-39.4,2023-11-29 07:27:54+00:00,19,115
49.442307,1.083167,-39.8,2023-11-29 07:27:57+00:00,19,112
49.442312,1.083115,-40.0,2023-11-29 07:28:00+00:00,19,113
49.442301,1.083075,-40.0,2023-11-29 07:28:02+00:00,19,116
49.442304,1.08306,-40.0,2023-11-29 07:28:05+00:00,19,119
49.442283,1.083043,-40.2,2023-11-29 07:28:06+00:00,19,118
49.442184,1.082956,-40.4,2023-11-29 07:28:11+00:00,19,116
49.442189,1.082808,-40.4,2023-11-29 07:28:15+00:00,19,115
49.442031,1.082615,-39.4,2023-11-29 07:28:19+00:00,19,112
49.44203,1.082552,-39.0,2023-11-29 07:28:20+00:00,19,108
49.442038,1.082494,-38.8,2023-11-29 07:28:21+00:00,19,109
49.441998,1.08236,-37.8,2023-11-29 07:28:24+00:00,19,110
49.441859,1.082273,-36.6,2023-11-29 07:28:27+00:00,19,112
49.441816,1.082243,-36.2,2023-11-29 07:28:28+00:00,19,113
49.441787,1.082213,-36.2,2023-11-29 07:28:29+00:00,19,110
49.441686,1.082127,-36.0,2023-11-29 07:28:32+00:00,19,113
49.441571,1.082034,-35.8,2023-11-29 07:28:35+00:00,19,113
49.441474,1.081961,-35.2,2023-11-29 07:28:37+00:00,19,115
49.441439,1.081933,-34.8,2023-11-29 07:28:38+00:00,19,118
49.441303,1.081823,-34.4,2023-11-29 07:28:41+00:00,19,119
49.441173,1.081717,-34.2,2023-11-29 07:28:44+00:00,19,122
49.441001,1.081583,-33.4,2023-11-29 07:28:48+00:00,19,122
49.440915,1.081519,-33.4,2023-11-29 07:28:50+00:00,19,124
49.44072,1.081433,-33.2,2023-11-29 07:28:53+00:00,19,123
49.440576,1.081335,-32.6,2023-11-29 07:28:56+00:00,19,122
49.440256,1.081148,-32.2,2023-11-29 07:29:02+00:00,19,121
49.440144,1.081079,-32.2,2023-11-29 07:29:04+00:00,19,123
